short_name,total
I. Scocco,777972
De la Bella,76-179-270
Zurutuza,65-26662
Javi Varas,516468+1
O. Vizcarrondo,28+12660
V. Birsa,71-16870+10
N. Guzmán,517078+5
H. Medunjanin,726469
A. Matri,78-17371-1
Sergio Sánchez,66-168-170-4
L. Nguyen,78-18074
H. Hosogai,7578-176
M. Jedinák,51+256+773
A. Rukavina,7768+179+1
L. Barrios,727678
Vagner,39+56174+8
Marquinho,78+178+272
J. Morales,68-37574
A. Chahechouhe,848070
M. Britos,61-249-168-2
Rúben Micael,737978
Z. Brkić,404069-1
E. Paredes,75-37974+3
T. Gutiérrez,71-17174
C. Kerbrat,72+167+372+1
L. Barrogios,72-476-178-5
S. Torrico,483275
J. Ward-Prowse,73-37470
Óliver Torres,78-18771+2
A. Mitrović,68-358-173-1
R. Morrison,787968
M. Niang,82-184+263-4
K. Zouma,69+148-970
Suso,788758
T. Kongolo,77+26469+6
N. López,838365-3
E. Can,787575+1
Fred,808070+4
Carles Gil,72+175+166+1
R. Bürki,466664
A. Townsend,887968
A. Rüdiger,76+868+171
Moi Gómez,7680+368+11
Saúl,697575+5
H. Ziyech,7483-273-1
Gayà,85+582+470+19
Carlos Mané,869275
F. Cartabia,82-18569+17
H. Seferović,55-46270+1
T. Kalas,787474
O. John,83-278-670-1
Rubén García,83-184+174
A. Centurión,939268
A. Ghazal,625372+3
Rúben Vezo,70+1069+168+6
S. Bocchetti,807167-4
Y. Chikhaoui,82+291+666-4
A. Ekdal,67-169-173-1
S. Johansen,70-37677+1
J. Shelvey,666271
Botía,556156
C. Tosun,777972
A. Ahamada,432376
J. Guilavogui,67+16073
Jordi Amat,6459+369+3
Z. Labyad,77-780-474
André André,7579+376+3
Aurtenetxe,77+169+157+2
M. Leitner,759075-1
N. Sansone,8687+171-1
J. Sánchez Miño,79-374+468-3
Wellington Nem,858371
L. Melgarejo,89+18375
Leo Baptistao,757975-4
Manu Trigueros,71-580+570+5
S. Mané,90+188+270+5
L. López,62+159+667
D. Zapata,72-173+174
I. Abate,9079-171-1
M. Dossevi,82+274+574
A. Mounier,817977
D. Perotti,8580+162-1
M. Darmian,79+676+778
D. Kombarov,757677
O. El Kaddouri,70-17071-1
S. N'Zonzi,696573
M. Martin,688375
Miguel Lopes,79-669-871
Rubén Pérez,666373-1
M. Beister,8479-176
P. Souaré,81+37072
N. Pejčinović,555871
F. Bardi,314276-1
A. Hoffmann,6259+274+5
Z. Boucher,545768+22
V. Eysseric,748173
F. Fernández,544871-1
Insua,63-257-171+9
Q. Promes,8687+172+1
Aderlan Santos,55+55568
C. Carbonero,84+478+268
D. Rose,82+267-669
R. Bertrand,776974
L. De Silvestri,797270-1
Joselu,67-16973+1
R. Kruse,858474
H. Saivet,81-283-274-1
N. Petersen,64-469-377
M. Moralez,939577
N. Roux,677376
S. Athanasiadis,727675
J. Ward,666672
Ramon Motta,807975
M. Pektemek,75+677+277+4
T. Cleverley,767576
A. Barrada,788274
Rafael,525263-1
D. Pröpper,72-27277+1
D. Didavi,717472
F. Diagne,717373-1
Baena,65-15980+1
Héldon,8680-181-3
I. Baldé,72+46374
J. Murillo,61-275+165+1
David López,63+15069+3
E. Bičakčić,63+454+671+4
T. Serero,85-387+176-1
A. Jóhannsson,77-27172
L. Fariña,847871
F. Gardoş,62-351-1769
O. Shatov,7980+376
T. Stepanenko,716073+7
J. Tizón,727473
D. Siovas,445265
F. Pardo,87-17772+3
S. Cárdenas,869272
J. Izquierdo,929070
C. Budescu,797071
Verza,5559+170+2
P. Skjelbred,698275
A. Baumjohann,68-17874
J. Djourou,66-15373
K. Schmeichel,405863
S. Meyiwa,516866
Omar Ramos,82+381+272
Elustondo,55-56774
J. Vossen,637480
J. Altidore,694872
F. Johnson,84+37677+1
A. Demir,687268
V. Mannone,59+64275-1
M. Sulejmani,787771
B. Sako,887469
Ki Sung Yueng,657066
M. Gradel,918463
C. M'Bengué,76-57373
M. Kelly,69-45971
M. Olsson,81-17472
J. Rhodes,7881+173
Alan,77-386+475+5
C. Carmona,787974-1
Marc Valiente,60-166+270
T. Viúdez,898268
I. Köybaşı,827572
J. Schieber,72-264-372
A. Rudnevs,77-16976-1
D. Ginczek,7164-172
Borja Viguera,71+960+268+4
C. Austin,73-665-376+2
J. Toornstra,69-267-574
T. Klose,48-14072
Sebá,9178+274+3
Allan,79+376+475-1
S. García,70+15872
G. Maniatis,74-468-275
T. Ciğerci,65-27274+2
B. Corgnet,737373
F. Gutiérrez,73-28076
R. Ibarra,928065
R. Jiménez,78+378-173-1
Marcelo,73+465+670+2
M. Sanson,73-17672+3
J. Buffarini,88+28073
R. Babel,877370
V. Denisov,866973
R. Riou,433964
A. Beck,76-26874
I. Iličević,78-18273
J. García,554177+6
G. Hooper,767474
W. Vainqueur,867576
A. Cissokho,756763+3
R. Bobadilla,726466
F. Lemoine,687275
S. Langkamp,655869
V. Anita,798275-2
V. Forren,624674
J. Montero,89-484-469-1
J. Flum,65-26575
O. Assaidi,889167
M. Estigarribia,767973
C. Toselli,494567-2
Victor Sánchez,65-27674
Rogerinho,928876
A. Uchida,77-17975
P. Diawara,7978+167+1
E. Bauthéac,817973-1
Gálvez,4849+1162
P. Hernández,897262+2
Rafael Martins,767479+2
L. Vangioni,91+1269+974
R. Snodgrass,697564
P. Kone,7688+279-1
N. Dyer,92-18666
C. Gönen,626972
M. Layún,85-278-171-1
I. Smolnikov,848079
L. Acosta,90+585-171-6
C. Pantilimon,4833-1968
G. Kashia,525567
Juninho,76-27775
Lucas Pérez,78+17471
E. Botteghin,42-84566
J. Vázquez,84+1191+1871+5
P. De Blasis,859373
E. Valencia,86+277-271-1
G. Pinzi,6868+271-1
M. Di Vaio,72-37479
P. Cannavaro,346067-1
S. Given,414873
José Bosingwa,767572
R. Dunne,22-112870
A. Gamberini,67+36172-3
J. Mathijsen,33+332-872
Juanfran,66-361-575
César Navas,633154
E. Pogatetz,49-13068
N. Penneteau,423855
J. Collins,513371
A. Isaksson,362872-3
L. Bernardi,526379
K. Beckerman,56-363-176
S. Armand,546475
B. Cheyrou,516173
M. Antonsson,554572
B. Hangeland,36-822-1274-6
S. Proto,606178-2
A. McGregor,336867
S. Sorrentino,335269-1
D. Bent,757375
M. Bodmer,505574
D. Duff,717369
T. Cahill,646682
C. Brunt,686771
J. Utaka,807867
C. Makiadi,7276-274
A. Madlung,272567
M. Feulner,66-173+175
J. Gillet,3966-377-3
D. Conti,545479-1
C. Bovo,556069-1
H. Altıntop,6666-270
H. Altintop,69-476-276
Cani,73-177+161-12
S. Elana,363873
F. Béria,727173
T. Giresse,717869+2
M. Pinilla,686275-1
R. Fanni,766871-1
N. Douchez,393272
L. Pionnier,444151
C. Schulz,62+363+574
M. Borriello,63-16670-1
S. Lucchini,53-14964-1
M. Topuz,707370
U. Bulut,766979
J. Schlaudraff,76-279-277
J. Briand,78-182-470-2
Gomes,505673
Alexis,57-36461-2
M. Cassani,69-16574-1
D. Gastaldello,555567-1
M. Storari,49+25568-1
M. Turner,39-1131-365
D. Lugano,273364
Toño,555764
R. Brouwers,5153-176
F. Cavenaghi,59-76479+5
A. Alcaraz,515773
N. Burdisso,685070-1
Rafael,433171-1
R. Klavan,65+361-170
A. Lucarelli,50-13370-1
S. Saja,236973
V. López,546879
J. Gutiérrez,717374
M. Barbosa,626372+2
E. Papa,817777
G. Karadeniz,788271
S. Pletikosa,645370
I. Toraman,746460
Y. Kurtuluş,77+57472
O. Wendt,74+372+276
Jaime,535170
Riki,58-260+276+1
Álvaro Rubio,44-454+281
Rubén,476464+1
A. Berezutskiy,695061
Luíz Carlos,747270
A. Al-Habsi,4161-174-2
P. Verhaegh,747374
G. Stendardo,34-12958-1
Amauri,49-25070-1
G. Yapi Yapo,788275
Jussiê,778275
A. Faurlín,647281
A. Mvuemba,757073
Jorge Molina,46-34976
M. Pasqual,747069-1
L. Perea,81-16068-1
Ansotegi,303168
R. McCormack,747775
M. Martens,6773-172-2
Y. Gouffran,78-37975
B. Assou-Ekotto,75-274-272
Salva Sevilla,53-36273
M. González,84-77671
W. Kvist,60-758-178
J. Barroso,74-164-876+3
L. Pisculichi,75+177+473+2
L. Vyntra,72-26476
Víctor,70-36273
F. Amorebieta,34-732-570-2
D. Padelli,493869-1
K. El Ahmadi,697877-1
P. Barrientos,707566
M. Angeleri,67-26373
G. Jourdren,475463
Eduardo,466069
C. Théréau,63-165+173-2
N. Maurice-Belay,79-37072
Evandro,69-577-576-2
M. Kadlec,696874-1
O. Ustari,556469
J. Carrizo,595671-1
A. Ramírez,70-278-474-5
T. Al Jassim,74+579+179+5
Ronny,67-174-360-10
M. Lacen,66-17967
N. Spolli,503467-1
J. Maidana,60-75875
D. Pranjić,727878
M. Andreolli,63-15963-1
K. Westwood,505865
S. Bassong,68-15967
H. Suazo,74-174-177-1
J. Zúñiga,88+190+274
Ilsinho,72-56777
J. Schuster,5049-575
F. Tissone,67-26477
R. Danzé,686674
G. Vives,696674
C. Gardner,58-116975
J. Larrivey,5452+172+8
Luisinho,75-172-165+3
E. Kawashima,4470-1170
M. Hasebe,64-57476
V. Torosidis,766971-1
A. González,798275-1
P. Oniangué,646572
O. Karnezis,444562
N. El Zhar,84-18270-2
S. Tshabalala,828471
F. Roncaglia,74-269+167-3
Mariano,837674
Kike Sola,6970+177+2
L. Rossettini,63-15863-1
T. Hubočan,747881
Manucho,59-35874
M. García,82+486+673+5
D. Moreno,79-777-175-1
M. Yatabaré,67-57575
S. Štilić,527774
G. Niedermeier,34-2834-873
F. Orellana,85-18975+1
Mario Rondón,787779+1
G. Canales,57-105875
C. Tătăruşanu,505973
Irureta,616366+2
D. Grigore,65+263+569
E. Barrertos,747573
C. Rivoredo,607971
Nacho,776474
D. Fuakuputu,80+170+172
P. Goltz,73+16575-1
Y. Tielemans,737473+4
L. Vietto,80-481-371+1
L. Goretzka,77+276+772+2
Junior Malanda,74-264-172
R. Kishna,85-378+269+7
T. Vilhena,757576+5
Pedro Obiang,69-17266-1
J. Stones,70+26868+5
B. Zuculini,84+183+571
J. Locadia,74-372-268+2
K. Rekik,756672
D. Baselli,697471+5
A. Rabiot,687273
João Mário,61-268-173+2
D. Praet,71-175-275
T. Horn,455070
E. Dier,57+739-1166
J. Okore,74+15763
E. Durm,86+77774+4
L. Muriel,888468-2
H. Vanaken,66+136072-4
Felipe Anderson,84+18464-1
Ilori,716173
Guilherme,656768
P. Mpoku,717471
Nélson Oliveira,7774-466
J. Kirchhoff,6647+473+1
Y. Ngbakoto,858272+3
A. Jali,757375
P. Yakovlev,787270
I. Belfodil,7471-571-1
G. Imbula,77-47872
L. Castaignos,787468
N. Redmond,90+190+562
L. Caldirola,68+167-272
Isaac Cuenca,77-18657
Juan Carlos,8686+284+1
P. Ntep,86+28064
Kelvin,86+19271
D. Cheryshev,787868+1
S. Kolašinac,76-163-176+3
S. Oliseh,90+279-1364
J. Livermore,69+16573+4
F. Günok,473553
G. Schennikov,847970
J. Aquino,928958
F. Giefer,3843-376
J. Bruma,64-45767
Wellington Silva,92+193+167+11
M. Ryan,626277
K. Mokotjo,68-172-272
Raphael Martinho,888368-1
N. Boilesen,79-26674+2
L. Krejčí,827377
Salvador Agra,919075
B. Davies,827469+2
E. Roco,63-256+166+1
J. Correa,78+379+268+8
L. Bridcutt,68-47274
S. Okaka Chuka,746969+2
A. Ionov,818166
J. Hoilett,89-18370
L. Orbán,70-170+572-1
E. Cardona,807669
M. Plattenhardt,747374
Carlos Eduardo,58-1772-273
E. Schelotto,76+171+269+1
C. Clemens,8577-172
A. Weimann,777377
J. Ayew,778176
M. Vydra,80-17573
E. Torres,72-38675
Matos,78-277-172+2
Sami,91+178-775
J. Vestergaard,47-23369
T. Bifouma,91+18976
G. Sakai,777873
Y. Ferreira Carrasco,79-49174-4
José Rodríguez,6260-374+4
J. Hofmann,8183+172+1
R. Botta,80-276+170-1
F. Carrizo,84+581+168+4
Anderson,777973
S. Romero,445278-1
J. Tomkins,644672
D. Chygrynskyi,58-65770
P. Armero,88+27974
B. Koné,696068
R. van Wolfswinkel,717268
Miguel Vítor,666267
K. Rausch,777574
M. Rybus,89+17066
A. Büttner,81+27674
P. Mamaev,767371
Y. Bolasie,8681-171
D. Diekmeier,9067-274
O. Gonzalez,72+1143-162
Kim Seung Gyu,573667
Fontàs,46-256+168+1
E. Prib,7976-175
N. Gudelj,656476+3
C. Erbes,787677+7
J. McClean,857671
V. Pilař,848775
F. Acerbi,553467-1
R. van Rhijn,84-17473
Raúl Rodríguez,61-36175
T. Chandler,7662-272
D. Suárez,79-385+171+2
T. Hemed,60-264+173+4
T. Inui,869570
Marçal,797480
Sammir,67-16565
A. Kanibolotskyi,463549
U. Spajić,66-66368
Bébé,78-368-170+3
D. Buonanotte,77-192+355+1
V. Odjidja-Ofoe,716671-3
N. Bungert,72-16674
K. Monnet-Paquet,827772
L. Deaux,60-66567
A. Traoré,899068
E. Vecchio,788467
O. Mazuch,625262
Adilson,5666-268
R. Rosales,77-68676+1
C. Clark,625973-3
T. Gebhart,77-171-674
J. Howson,687273
Licá,78-57670
M. Carcela-Gonzalez,818973
K. Sigþórsson,66-76471-1
Y. Thuram,396976+6
E. Echiéjilé,757274
G. Kakuta,848465
Juan Cala,686567
S. Parshivlyuk,7564+270
E. Rivière,79-675+175
M. Hitz,414570
Etxeita,5567+267+1
Y. Öztekin,827066
M. Besler,78+36176
C. Borges,647074
Jose Carlos,66-774+161-8
Jordi Figueras,34-84667
L. Duarte,74-172-173-1
C. Moritz,68+37674
G. Donati,736573
K. Mbodji,705272
M. Lowton,746975-5
Julián,3338+366+9
Ekiza,68-16473-1
S. Vergini,71-45377
P. Hosiner,867882
F. Fajr,73-179-270+1
A. Mejía,666771
Pedro Tiba,767773
R. Beerens,848671+1
G. Dorrans,697571
O. Trejo,82-484-170
D. Halfar,83-19074+1
K. Constant,78+271+363+3
A. Traoré,767675+3
E. Pieters,686570
E. Derdiyok,65-271-373-2
J. Saihi,5264-571-5
A. Cabral,7270-973
Castro,737372
T. Gebre Selassie,7978-175
C. Peña,81-378+275-2
Simao Mate,73-17672-1
L. Kozák,6236-1871
Michel,78-176+169+1
Fidel,78-178-171
A. Bedoya,69-77273
Park Joo Ho,847976
Kim Shin Wook,765468
P. Bargfrede,68-176-172
N. Tomović,69-16669-1
E. Alvarado,455870
M. Arroyo,91+47969
M. Ostrzolek,817774+1
R. Mora,7782+571
A. Samaris,62-46870
G. Cano,747771
B. Johnson,68-17269
S. Dann,495672+2
O. Gladkyi,727277
D. Simpson,767072
C. Djakpa,838169
Chico,65-257-153-1
M. Diamé,797964
J. Kucka,65-17474-1
I. Mboyo,737170-3
M. Yumlu,485465
L. Cadamuro,64-25962+1
Nacho,88-28472
L. Ruiz,786575
V. Ayala,787572
M. Cauteruccio,72-58271-1
J. Saviola,77-38272-10
J. Elmander,667173
Z. Camara,536267
Tarantini,60-15575
M. Marchionni,69-17776-1
J. Jääskeläinen,502368
A. Johnson,82+67873
Rúben Fernandes,66+16569-2
Valerón,42-64981-1
Custódio,50-146772
O. Sorlin,516673
L. Toni,343474-1
R. Taylor,676374
M. Yepes,343064-1
P. Nilsson,343171
G. Tremmel,453773
A. Floro Flores,767267-1
M. Delpierre,304175
M. Niang,727468
D. Zokora,717567
T. Manfredini,556067-1
A. Hleb,686969
M. Rosenberg,787276
M. Pedersen,537375
S. Maloney,71-278-371-2
A. Boka,77-18375
T. Kahlenberg,626572-1
M. Cetto,645465
C. Zaccardo,59-15455-1
I. de Camargo,64-162-272-1
J. Woodgate,33-215871
T. Wiese,252578
J. Van Damme,675977
C. Fritz,66-771-177
S. Padoin,777570-1
A. Cossu,76-272-269-1
G. McAuley,5234-1474
Dorado,54-157+174+1
Pelegrín,40-754+165+3
Duda,56-56463
Albert Riera,726775
Mario,635867
Abel Gómez,40-342-373+9
C. Kameni,445469
J. Plašil,556573+7
F. Lodi,556971-1
J. Makoun,6461-774-3
M. Rensing,404771
S. Sarıoğlu,878676
S. Brown,83-38379
N. Zimling,66-273-176
K. Boulahrouz,45-542-1067
Sérgio Pinto,687382
G. Biava,29-215577-1
J. Callsen-Bracker,60-23872
P. Odemwingie,78-47874
M. El Hamdaoui,697569-3
M. Janko,49-44874
K. Richardson,797774
L. Rigoni,58-26074-1
C. Fuchs,67-165-174-1
Javi Guerra,747370
S. Silva,545472-2
B. Georgiev,656976
L. Desábato,33-230+268
J. Olave,39+105072
L. Fernández,66-673-367
S. Şentürk,626468
R. Raţ,697075
Cejudo,80+280+381
Iván Ramis,57-45574
M. Izmaylov,727874
R. Pavlyuchenko,54-127071
R. Yanbaev,817571
E. Calaió,757071-3
C. Pander,67-76476
J. Puncheon,7977+166
V. Figueroa,797877+6
S. Pouplin,555467
A. Belenov,544466
A. Saborío,76+17369
C. Adam,556367
K. Haggui,34-2157-372
Marcelo Boeck,345172+5
A. Talavera,555775
F. Rodríguez,66+645+368-1
S. Marveaux,778072
Pedro López,77-17481
L. Ciman,696770
S. Carson,423370
M. Obbadi,62-17467-1
Gelson Fernandes,71-172+373
K. Jones,70-16468
S. Viera,415170
D. Chiumiento,73+372+265-1
M. Boselli,66+168-273+3
P. Whittingham,58-37874
I. Abaev,467065
R. Martin,70-469-273
J. Morrison,737874
M. Krasić,83-575-564-8
J. Orozco,626880
G. Whelan,32-226977+4
A. Raggi,626565
D. Limberský,816268
J. Féret,50-167774
G. Agbonlahor,887559
C. Obasi,74-377-277
M. Izco,75+16875-1
G. Cabral,52-360+159+1
Cássio,425574+1
H. Balta,646671
V. Fayzulin,777573
A. Ryazantsev,7677+172
Hosny,74-37873
E. Soto,64+177-174
H. Rodallega,7579+165
B. Dramé,788272-1
D. Lafata,788267
W. Gomaa,55-13968
U. Emanuelson,8689+171-1
Sisi,91+281+271
Íñigo López,5055-173-5
R. M'Bohli,40-176176
Adrián Colunga,76-280+181
C. Pereyra,85+27971-4
C. Leitgeb,76-688-174
Marcano,695073
J. Herrera,573249
M. Figueroa,72-46366
J. Ďurica,57-127066
F. Hološko,726472
T. De Sutter,715672
J. Rosenthal,66-37475
T. Werner,787773
N. Dirar,828165
A. Aguilar,51-45673-3
R. Donk,686766
B. Janković,777370-1
Miguel Torres,675770
A. Ateef,7273+272
Márcio Azevedo,777282
R. Bengtsson,66-15572
E. Arévalo Ríos,67-172-173-1
D. Stockdale,502471
N. Jelavić,68-467-574
W. Gargano,7986+273+1
D. Vera,666974
W. Hesl,544272
Casado,77-678-368
V. Bessat,797574
G. Cameron,797670+2
Leandro Salino,81-279-774-3
G. Schildenfeld,556172
M. Cáceres,77+36875+1
Douglas,334768+10
F. Kadir,767572
T. Costa,65-371-172
Xumetra,85-178-177-2
G. Zusi,67+36674
Javi Márquez,63-17070+1
J. Mercier,66-46973
M. Torres,7484+273
E. Izaguirre,76-38067
O. García,78-18571
Abraham,7879+269+2
S. Sosa,586974+7
A. Alcáceres,535770
P. Silbeira,516371
E. Sobera,736376
M. Romerón,777573
C. Pellerano,65-166-169-1
M. Pintilii,6670+270
A. Aréola,545375
J. Butland,515865
B. Traoré,86+18266+3
Alex Telles,858378-2
A. El Ghazi,757562
C. Wickham,756174
C. Mbemba,786870
H. Villalba,9191+671
L. Romero,76+176+373
D. Reyes,63-1168-474
J. Veretout,667175+1
K. Ebecilio,756869
M. Bruno,84+18471
S. Vrsaljko,79-37868-1
Vinícius Araújo,78+176+169+1
G. Gil Romero,77+175+174+2
K. Babacar,757568+3
P. Kasami,686271
Luis Alberto,69-269-170
W. Zaha,858470
R. Saponara,747259+3
Flávio Ferreira,67-16672
J. Willems,7875-274
Vitinho,838354
Paulo Oliveira,5450-269
A. Adnan,726881
Marc Muniesa,676269
Oriol Romeu,635765
M. Hinteregger,646262-2
Y. Ayoub,757573+1
S. Kapino,313270
Fabinho,776467
B. Rabello,858472
Miguel Rodrigues,60+15368+4
Ricardo Horta,78-478-272
G. Cuéllar,787574
T. Ince,828571
Danilo,685968
S. Arias,877371
Rúben Ferreira,77+17474
S. Denswil,596160-1
Jairo,77+378+473+2
Y. Al Shehri,84+184+266
B. Başaçıkoğlu,92-189+1569+14
A. Scholz,656070
D. Rolán,787672+2
L. Melano,89+476-267
M. Pisano,80+992+1568
N. Taylor,787264
N. Mihaylov,575870-1
M. Diskerud,697664
K. Trippier,847970
A. Hernández,908473-1
A. Westwood,6967+279-2
V. Kadlec,87-286-172
S. Zuber,7879-267
José Ángel,75-27373
T. Arslan,6877-174
Dídac,745965-1
A. Bertolacci,7679-170-1
A. Matthews,80-17674
V. Pajot,676776
Gabriel,6865+174+1
T. Meunier,716473
Gilberto,74+658-168
C. Galano,90+394+371
Denis Suarez,76+358+263+4
J. Ferri,757070
F. Kostić,84-27468+4
Jonny,7975+159+1
F. Ferreyra,667172
S. Widmer,80-37669-1
A. Yılmaz,838362
Alfaro,76+180+478
L. Antonelli,777672-1
A. Ben-Hatira,817772-2
M. Gavranović,778174
G. Sio,87+28467-3
D. Gosling,677468
K. Naughton,767169
A. Konradsen,6773-474-2
M. Risse,8676-170
E. Berisha,283362-1
Jeffrén,80+188+566+2
M. Ekici,73-17670-1
Fábio,7883+170
Iago Falqué,778256
E. Badu,848273-1
David Simão,696775
Mario Gaspar,69-570+169+7
André Almeida,676770+1
Sérgio Oliveira,65+16657
S. Bell,65-15574
A. Kačaniklić,82-187+367
A. Ujah,76-47471
João Pedro Galvão,70-17374+2
B. Dja Djédjé,817469
E. Çolak,818275
N. Blandi,66-66773
G. Burdisso,54-450+173
K. Koulibaly,70-15364
G. Torje,83-184-177-1
Danilo Avelar,686469-1
O. Hiljemark,69-26771-7
K. Frei,919058
C. Jorquera,757764
L. Castro,787667-1
M. van der Hoorn,48-54563+2
H. Sakai,78+27573+2
Cleber,674060
I. Ghaleb,79+176+264-2
N. Norsales,828674
S. Mitrović,6552+763-1
S. Medina,75+170+371-1
E. Insúa,8069+1071+2
Zeca,787571
S. Sinclair,8989-161
T. Elyounoussi,849172
Fran Rico,6767+176+2
R. Jenssen,738175
P. Baysse,656771
A. Hloušek,69-368-174
M. Suchý,73+47070-2
O. Akhmedov,7366+476
J. Morávek,65-37574
F. Frei,74-272-260-8
Y. Sankharé,677072+2
Lora,90+190+676
O. Ighalo,7770+174
Dentinho,817272
R. Wolf,364469
M. Díaz,74+17674
Jonathas,68+253+169+1
N. Krstičić,69-17370-1
K. Vogt,665368
M. Klich,726672+4
C. Benschop,73+65569
Jaume Costa,78-178-167+2
D. Contento,777573
Ryan Mendes,908973
M. Pereira,91+189+672
Ximo Navarro,78-27071+4
L. Unnerstall,303168
A. Özek,79+777+669+6
S. Berghuis,7680+672+8
L. Cavanda,87-17868-1
J. Kurtić,62-159+167-1
J. Gouweleeuw,746870+2
V. Qazaishvili,768565
S. Medojević,6768-171
S. Myeni,827869
G. González,795978
N. Kanté,73+165+173+5
S. Vilakazi,786562
D. Brivio,685870-1
Lee Chung Yong,80-277-573
S. Pocognoli,787774
A. Shunin,434267
M. Dabo,7771+777
Barragán,74+164+170+1
V. Anichebe,675674
Hugo Vieira,87+18275
W. Hennessey,505063
V. Obinna,92+28473
M. Díaz,70+77860-2
L. Christodoulopoulos,76+275+171-1
J. Placide,533872+7
Adrián González,696974+13
K. Aït-Fana,7577+271
T. Matavž,66-867-372-4
L. Koné,635470
V. Nogueira,64-87971
Felipe,6366-273
G. Mujangi Bia,857769
O. Nyland,514560
Felipe,63-255-169
M. Vejinović,55-1176+369
C. Noone,8784+161
G. Sansone,848668-1
S. Blanco,767470
I. Brizuela,90+190+269-1
D. Maroh,55-755-171
K. Théophile-Catherine,71-16371
V. Ignatiev,817067
F. Rinaudo,767273-3
Jesús,52+1834+668+2
Steven Vitória,34-103268
B. Nuytinck,585368
A. Ignjovski,7477-273
N. Uysal,736575
V. Sarı,69-662-1074+6
L. Vilsvik,807477
C. Ortiz,67-17372
Rodri,79+292+367
K. Bérigaud,76+27369
Y. Tavares,544567
A. Domínguez,283674+20
Salomão,82-283-167
S. Ndjock,314765
S. Schipplock,6865+172
Z. Erdal,716670
J. Akaminko,806562
N. Bareiro,615473
P. Rubio,79+87367
D. Pérez,78+183+372+6
J. Tanaka,747772
A. Vanden Borre,74-273-171
M. Wilson,6662-872
Ukra,76-28069-4
Jesús Rueda,52-257+265
S. Boenisch,725471
R. Vormer,63-26367-3
A. Pearce,36-1343-166
A. Pilkington,66-870+169
Sidnei,50-95157-3
A. Weber,343967
M. Maïga,7679-272
P. Glykos,414370
T. Doubaï,726472-2
D. N'Dinga,71-27079
G. Angella,53-530-468
C. Quintero,94+485+272-1
N. Hazazi,71-169+571+3
H. Mier,69-168-167-1
Nacho Fernández,77+1057-167+3
D. Yilmaz,826871
T. Chery,82-17467+2
M. Fallatah,7690+470+7
E. Videla,697676+9
F. Armani,303669
Dani García,58-468+266+4
Gabriel,83+888+572+7
A. Abdi,72-17073
A. Le Fondre,767077
J. Ledley,74-272-275
C. Jerome,866869
J. Torres Nilo,78-180-173-1
F. Campbell,8679-269-2
G. Bocaly,767270
P. Aguilar,63-16368-1
J. van der Heijden,49+16271
A. Ngcongca,798373
K. Tshimanga,938574
Victor Vazquez,536876
M. Frantz,74-16973
A. Elmohamady,81+37272
Marco Matias,8582-169
S. Aydoğdu,506663
S. Grichting,33-93267
A. Manninger,394875
L. Castellazzi,575364
D. Dainelli,343464-1
S. Marchal,333471
C. Kirkland,472764
A. Bizzarri,555367-1
T. Simons,475768
A. Hughes,334970
S. Malbranque,49+17668
S. Diawara,545566
B. Pedretti,55+456-973
M. Petrić,6374-475
T. Hysén,86-176-175-1
A. Farnerud,696973-1
M. Stankevicius,555059
P. Senderos,3232-864
T. Hibbert,545270
M. Upson,33-1931-1271
B. Myhill,415165
M. Maccarone,746869-1
Soriano,47-147+184-1
M. Lehmann,52-76773
G. Sculli,747373-1
R. Bianchi,62-16675-1
Y. Pelé,514269
M. Streller,526374
Edu Albacar,7167+169+1
V. Avramov,384265
B. Laquait,513651
F. Daems,50-355-377+1
G. Kaçar,686672
E. Hallfreðsson,66-16169-1
R. Hilbert,767774
M. Lanig,5042-872
Mainz,34-238-563+1
Kim Do Heon,558070
Fernando,37+26072
A. Gazzi,60-15871-1
A. Rosina,848474-5
J. Lotiès,52-257+166
D. Rozehnal,48-73070
J. Mignot,4954+170
I. Cissokho,825953
M. López,75+76955
O. Pérez,636372
B. Cesar,53-13454-1
J. Shackell,68-356+369
G. Marchese,696474-1
J. Morel,746573
F. Baloy,49-827-1850-5
M. Kightly,7979-170
V. Shevchuk,63-146872
C. Maldonado,606472
A. Tziolis,505370
J. Bottinelli,48-360-265
F. Cubero,686975-1
P. Pérez,879070
M. Delgado,64-277-564-5
David Barral,75-274-169-2
Vitolo,727171
Corona,55-165+180+5
D. Mateo,516878
J. Pinola,68-26674
Carlos Cuéllar,454764
Gavilán,66-266-162-1
C. Marica,82-173-177-1
O. Kuzmin,798074
A. Rebrov,464462
R. Schaken,82-272-267-3
C. Molinaro,7869+169-1
V. Moras,54-13361-1
A. Papadopoulos,706172
S. Puygrenier,493362
