short_name,total
Arribas,55+154+175+4
Z. Tošić,87+28469
B. Costil,463659
R. Shawcross,54-106272
M. Stranzl,55-75379
T. Henry,72-68081
S. Kehl,45-958-282
B. Friedel,4543-1674
Ricardo Costa,525871
K. Källström,60-16569+1
Joaquín,7675-167-1
D. Forlán,637273
Moyá,465474
Iraizoz,424880
Rubén Castro,8589+685
K. Touré,6731-1270
A. Di Natale,868077-1
S. Rolfes,62-16478-2
B. Yılmaz,8478+481+2
M. Topal,687481+1
A. Hutchinson,737673
Lee Dong Gook,66+146758
G. Pandev,736678-2
E. Cambiasso,556581
J. Milner,71-371-383
A. Mirante,445066-1
E. Spahić,51-115977
D. Milito,67-1068-273-2
O. Adın,85+87675
E. Korkmaz,606975
I. Uche,8792+167+2
Mikel Rico,6973+185+2
Javi Fuego,69+167+183+1
A. Samedov,837877
V. Berezutskiy,655366
A. Young,88-28474-2
A. Gignac,71-36878
Y. Zhirkov,767770
A. McGeady,88+19075
A. Hunt,7778-180-1
S. Kalou,827670
C. Gentner,63-55279
B. Gomis,6859-1775-3
Jesús Gámez,67-26475
H. Ben Arfa,77-88675-1
Rolando,31-3229-3476
B. Foster,504571
B. Guzan,504778
Michu,696084-1
N. Pareja,6456+183+1
G. Paletta,57-25177-1
C. Tioté,757678
M. Sow,848678
Varela,84-177-371
G. Castro,84-279-381-1
M. Fernández,788070-1
O. Toivonen,626975
M. Iturra,7476+176+2
B. Ruíz,6880+177
Vieirinha,858680
Lima,75-379-374
A. Rami,67-15861-7
Roberto,457077-5
Thiago Neves,7678+276
A. Kolarov,73+36478
S. Lulić,83-17476-1
J. Iturbe,939271-1
C. Grenier,64-27773-2
S. Mustafi,69+168+1178+2
Morata,77+363-174-1
M. Ginter,59+26079+3
Sergio Canales,73-278-165
S. Aurier,8477+378+4
Danilo,78-377-379
F. Thauvin,858281
H. Çalhanoğlu,76+17876+1
Rafa,868780
J. Zoet,575473
R. Pereyra,81+17676+1
M. Destro,7875+179-1
Montoya,867974
A. Carrillo,868674
C. Kramer,6964+578+4
D. Ospina,3444+1460
M. Marin,86-29167-2
E. Insua,786976
J. Allen,748381
Rafael,848477
G. Sertic,696976+3
K. Kampl,86+292+173+2
P. Djilobodji,69+652+460+8
J. Drmić,7879+177+2
Nolito,78-484+178+1
A. Özbiliz,828272
S. Rode,7778-177
J. Oblak,436774
M. Nastasić,71+26473
E. Vargas,82-58978-1
A. Maxim,78-485+375
Bojan,85-18378+6
Granero,676776
R. Fährmann,3338+575
A. Ranocchia,54-15572-1
A. Ogbonna,69+458+360-1
Y. Brahimi,79-284+575+3
L. Holtby,7384-180
K. Walker,89-168-773
S. Jung,766977
O. Özyakup,777978
J. Matip,676578+1
W. Ben Yedder,838475
V. Darida,7681-178+1
G. Ramirez,7781-173
S. Romerón,656373
P. Schwegler,67-17478
Agirretxe,55-55874
S. Radu,787477-1
I. Khune,55+2367+1475
C. Ansaldi,8279-380
S. Tasci,675977
A. Carroll,695876
N. Müller,898780
G. van der Wiel,847477-1
G. Sigurðsson,686876
I. Popov,817475
C. Zambrano,716575+1
Balenziaga,7871+176+2
Maicon,44-1539-1465
Vitolo,75+272+173+4
N. Chadli,7664-877
L. Bangoura,929379+1
M. Richards,747274
A. Modeste,687277
N. Amrabat,8990+370
M. Arnautović,79-27772-2
S. de Jong,746779
K. Großkreutz,76-165-279
J. Ruddy,435377-3
C. Zapata,67-15859-1
L. Pratto,7368+478
O. Şahan,81+180+278
José Cañas,665780
M. Stekelenburg,353572
Ricardo Carvalho,46-15370
S. Keita,666978-1
S. Distin,685073
P. Mexès,71+168-239-9
F. Malouda,696875
C. Samba,50-334+169
S. Mauri,6982+679-1
Maxwell,737978
S. Downing,777475
Gurpegi,54+154+271+2
S. Lichtsteiner,837580-2
M. Rodríguez,767472
Óscar,6778+482
David Navarro,50-25372+3
Reyes,7775-171+1
S. Ignashevich,45-96769
J. Jones,786874
H. Campagnaro,69-26270-8
S. İnan,727474-4
L. Cana,61-15871-1
A. Lindegaard,4759-271
D. Baier,727777
O. Martins,948276
K. Agassa,3236-2778
Ruben Amorim,657375
G. Denis,636076-3
J. Sosa,767574
Diego Castro,83-27977
L. Podolski,767080
Hilton,635673
Y. Gourcuff,687668
Piti,76+274+183-1
Markel Bergara,68-16070
A. Granqvist,46-85575
M. Flamini,747078
S. Salihović,50-465-279-1
L. Biglia,61-17678+1
Trashorras,46-34881+1
F. Quagliarella,75-47570-1
N. Lombaerts,345673
J. Clément,54-46673
S. Sessègnon,82-48478
G. Pellè,54+264-182+5
M. Jansen,7660-478
A. Johnson,788471
Jonathan,858574-1
P. Helmes,756976
E. Viviano,303576-1
Rafinha,76-18479
K. Vermeer,606879
José Enrique,797678-1
D. Valeri,71-27275
L. Cigarini,69-17779-1
Siqueira,79+37679
M. Erdinç,777174
P. Wernbloom,50-35376
M. Berg,747375
A. Fernández,6975+183+1
Manuel da Costa,665169
B. Trémoulinas,838281
Rafinha,86-19070-6
M. Biševac,474874
P. Osvaldo,73-27974-1
D. Ya Konan,85+285+378
Guilherme,586277
Luiz Adriano,78-47772
M. Pereira,757674
M. Parolo,72+46977-1
C. Yacob,645976-2
E. Giaccherini,76-69074-2
S. Okazaki,8084-180+2
S. La Cruz,585679
J. Aranguren,647775
D. Berardi,83+181+372-6
M. Icardi,797674-1
Lucas Piazon,76-174-367-4
M. De Sciglio,82-27673-3
M. Perin,577077-1
L. Kurzawa,8275+677+2
Jorginho,7982+177+1
B. Keita,87+27968-1
M. van Ginkel,757478
Fernando,778072
